TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,ContractAddress,Type,Value,Fee,Status,ErrCode,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice
0xb7049daa4e8a84352b3903a3f97e64cb7b93f005c77a2948220cb8ebcc199b72,2331928,2019-06-25 17:03:00.000000Z,0xe659bc6A60Ba2091c08F7df623BA6057349B6980,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,693810000000000,ok,,,0.04017,0.03956
0xfa3af09969583ecfd87559bf88c403f873921f31646b9d372f027edb0d2cc6c1,2132776,2019-06-12 12:43:40.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,337780000000000,ok,,,0.03428,0.04022
0xf0f47edd6301402d9df97eeb754cea7e67d9c562aadcee3afab3c248b5a27e52,2132770,2019-06-12 12:43:05.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,337780000000000,ok,,,0.03428,0.04022
0x3cb0c67575fc0b7bac653e010ac94b4affd436a0f63f53d6672ff8fcd392dece,2132761,2019-06-12 12:42:15.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,277524000000000,ok,,,0.03428,0.04022
0xfb16b61b006f1c91b7a842e038b8e8f44bee8c7c76f15c0ffe3860de5cfa423d,2132734,2019-06-12 12:39:40.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,277524000000000,ok,,,0.03428,0.04022
0xf90e29f7b07246c58440240c897e3b54fac07f4d9276157d6cc47e97ecd04d8d,2132729,2019-06-12 12:39:10.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,123100000000000,error,Reverted,,0.03428,0.04022
0xc301e73c05164404e72115261463ff2919968d836d51e8d2cbb11bbcee523a30,2132721,2019-06-12 12:38:25.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,277524000000000,ok,,,0.03428,0.04022
0x5254784bd13bdf8faefa2f001555c791a2fb76d79c9d72e13578d0db480b45c7,2028429,2019-06-05 01:58:55.000000Z,0x8De281f47B137979e55B6CEa598179737574C774,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,416286000000000,ok,,,0.03202,0.03226
0xef1f6bddcbfb83460714942bdd0c91ac6794ae4bbc9e7fae4d58a3fa661ff49e,2028421,2019-06-05 01:58:10.000000Z,0x8De281f47B137979e55B6CEa598179737574C774,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,416286000000000,ok,,,0.03202,0.03226
0x84ed9bbb64162c608bb5de1637bea3da30a60d4cb8c65470603165f707345a26,2028396,2019-06-05 01:55:45.000000Z,0x8De281f47B137979e55B6CEa598179737574C774,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,416286000000000,ok,,,0.03202,0.03226
0x753d42f9381d61df1d4d0c63e8fc4f88ec526652dd442dcb4a4ef200f9f67169,2028391,2019-06-05 01:55:20.000000Z,0x8De281f47B137979e55B6CEa598179737574C774,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,506286000000000,ok,,,0.03202,0.03226
0x53d87df4ac2331a77679713b82fd331283518a39a41a8d8de396948c68a2cf74,2028383,2019-06-05 01:54:30.000000Z,0x8De281f47B137979e55B6CEa598179737574C774,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,506670000000000,ok,,,0.03202,0.03226
0xf8b191904a31adc5c3945a9ed15e176dcc183ff7d116b16c09d1b5ac95ac8525,2018700,2019-06-04 10:31:35.000000Z,0x1eF319dB1930e3420fCfF90c376d9cf515B34876,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,114445000000000,ok,,,0.03497,0.03202
0xb60c049dac9954fbcd5aba9a7f5ce40ae54f3d275d0a73c0352a18aaf81c87e2,2018695,2019-06-04 10:31:05.000000Z,0x1eF319dB1930e3420fCfF90c376d9cf515B34876,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,114445000000000,ok,,,0.03497,0.03202
0x0d5c0339c5907b13e9d99caf53de805eac15b10b406c8ece2dbf9684c0e4157e,2018691,2019-06-04 10:30:45.000000Z,0x1eF319dB1930e3420fCfF90c376d9cf515B34876,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,99381000000000,ok,,,0.03497,0.03202
0xa9f9be1fc799efaf495933319597fc7ec4387b92753846d1a6871285185f745e,2018686,2019-06-04 10:30:15.000000Z,0x1eF319dB1930e3420fCfF90c376d9cf515B34876,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,99381000000000,ok,,,0.03497,0.03202
0xa3845d75cb43d8bc02d6a9ec5840e9ab969ff2b75c2f82d47a89af819bb41312,2018646,2019-06-04 10:26:00.000000Z,0x1eF319dB1930e3420fCfF90c376d9cf515B34876,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,99381000000000,ok,,,0.03497,0.03202
0x498d101127087c3b7a0dfaf1659ba0d2507acb3304954662e90723e54ce10286,2017625,2019-06-04 08:48:45.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,13266400000000000,ok,,,0.03497,0.03202
0xdd693533da336ba632d323aec5400a36ce34866ef3b13ff1a6a1425f86f73d32,2017609,2019-06-04 08:47:10.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,80957000000000,ok,,,0.03497,0.03202
